id,date,obs_type,obs_type_label,org_id,org_name,category,description,status
KRG-00001,2025-04-15,unsafe_condition,Опасный фактор,org_001,"ТОО ""Алый Тюльпан""",Вывешивание плакатов,Отсутствие плаката категорий безопасности на № 7520,resolved
KRG-00002,2025-11-04,safe_practice,Хорошая практика,org_002,"ТОО ""Белая Роза""",Наряд-допуск / Оценка риска,Провел наблюдение. Предложении нет,not_applicable
KRG-00003,2025-03-20,unsafe_condition,Небезопасное условие,org_003,"ТОО ""Золотая Лилия""",Электрооборудование,КТП қондырғысы жер тізбегіне қосылмаған.,resolved
KRG-00004,2025-05-08,unsafe_condition,Небезопасное поведение,org_004,"ТОО ""Лавандовый Рассвет""",Машины и оборудование,"Жұмыс жасау барысында, бригада жұмыс алаңшасында төселгент төсеніштері талапқа сай болуын қадағалау және қауіпсіздік шараларын  қатты қадағалау тұрақты.",resolved
KRG-00005,2025-01-21,unsafe_condition,Небезопасное поведение,org_005,"ТОО ""Синяя Орхидея""",СИЗ / Средства по обеспечению безопасности,Тексеру барысында көтергіш агрегат машинисті монтаж жұмысын каскасыз жүргені анықталды.,resolved
KRG-00006,2025-02-26,unsafe_condition,Небезопасное поведение,org_006,"ТОО ""Пурпурный Ирис""",Вождение,Тексеру кезінде жұмысшы көтергіш агрегаттың алдыңғы домкраты тірелмеген. Көтергіш агрегаттың жұмыс алаңшасында бөгде заттар жатыр.,resolved
KRG-00007,2025-03-03,unsafe_condition,Опасный фактор,org_007,"ТОО ""Нежная Фиалка""",Проскальзывание / Спотыкание / Падение,При входе в общий туалет на лестничной площадке имеется утрамбованный снег что может привести к проскальзыванию и падению,resolved
KRG-00008,2025-05-08,unsafe_condition,Небезопасное поведение,org_008,"ТОО ""Солнечный Подсолнух""",Охрана окружающей среды,Тексеру кезінде жұмысшы жұмыс кезінде техниканың белгіленбеген жерінен көтерілді.,resolved
KRG-00009,2025-01-08,unsafe_condition,Небезопасное поведение,org_009,"ТОО ""Весенний Пион""",Охрана окружающей среды,Машинист жүргізуші белгіленген скважинаға наряд допускісіз көшіп барғаны анықталды.,resolved
KRG-00010,2025-02-28,unsafe_condition,Небезопасное поведение,org_010,"ТОО ""Горная Эдельвейс""",Поддержание чистоты и порядка,камаз АТЗ тексеру кезінде мемлекеттік белгісі тазалығы өте лас.,resolved
KRG-00011,2025-04-04,unsafe_condition,Опасный случай,org_011,"ТОО ""Дикая Ромашка""",Взрыво- и пожароопасность,При обходе территории было выявлено факт нарушения использование открытого огня (зажигалка) в помещения для курения.,resolved
KRG-00012,2025-03-09,unsafe_condition,Опасный случай,org_012,"ТОО ""Серебряный Лотос""",Целостность объекта / Оборудования,Пропуск по пару,resolved
KRG-00013,2025-04-14,unsafe_condition,Небезопасное действие,org_013,"ТОО ""Ясный Василёк""",СИЗ / Средства по обеспечению безопасности,Работа по изоляции трубопровода без защитных очков,resolved
KRG-00014,2025-05-20,safe_practice,Предложение (инициатива),org_014,"ТОО ""Алая Гвоздика""",Поддержание чистоты и порядка,№2 Әкімшілік ғимаратының жанында демалу орынның айналасына шөп өскен,not_applicable
KRG-00015,2025-05-21,unsafe_condition,Небезопасное условие,org_015,"ТОО ""Сакура Плюс""",Поддержание чистоты и порядка,Тексеру кезінде бригада басында жұмыс жасап тұрған көтергіш агрегат лас.,resolved
KRG-00016,2025-01-06,unsafe_condition,Небезопасное действие,org_016,"ТОО ""Южная Магнолия""",Поддержание чистоты и порядка,Тексеру кезінде көтергіш агрегаттардың тазалығы өте лас. Көтергіш агрегаттардың тазалығы сақталып талапқа сай жұмыс жасау керек.,resolved
KRG-00017,2025-02-07,unsafe_condition,Небезопасное поведение,org_017,"ТОО ""Таёжный Жасмин""",Машины и оборудование,"Жұмыс жасап тұрған бригада, жұмыс жасау барысында мәдениет үйшігі мен жұмыс алаңшасы арасындағы жұру жолдарын талапқа сай реттеу.",resolved
